model,mae,rmse,r2,n_observations,n_participants,cv_strategy,mae_ci_low,mae_ci_high,r2_ci_low,r2_ci_high
mean_baseline,37.21682500000001,46.65116555108036,-0.047633656705670546,300,30,GroupKFold(n_splits=5),29.690604914860693,44.33515599780703,-0.16553193951032225,-0.017417108716211018
linear_regression,35.444520651862994,46.01895080195095,-0.019431080823995694,300,30,GroupKFold(n_splits=5),27.497637509807873,42.68675009597544,-0.17514419353605296,0.06649510347583693
ridge,35.448251018251405,46.01911262843982,-0.01943825053298065,300,30,GroupKFold(n_splits=5),27.50253081189889,42.69119913328098,-0.17509721105965936,0.06619753474784856
lasso,35.45986120310792,46.02373880714677,-0.019643223654231656,300,30,GroupKFold(n_splits=5),27.51203938103943,42.70461871500525,-0.17510606483214988,0.06542171334711175
random_forest,36.85513524726078,47.65094952510006,-0.09301862633761382,300,30,GroupKFold(n_splits=5),28.729082587236743,44.2722499314796,-0.2995193760030311,0.020874612900969914
