,sleep_duration,screen_time,social_media_time,notification_count,study_time,median_rt,sd_rt,switch_cost_ies,sustained_attention_score
sleep_duration,1.0,-0.16854788288578698,-0.030306878901037382,-0.08320328555607431,-0.029123547903336756,-0.24100203185003088,0.0290718411401933,0.004840788224712052,-0.028802348233173798
screen_time,-0.16854788288578698,1.0,-0.06530405937719543,-0.08790635157934819,0.05048493440283463,0.10875013847429217,0.01646020300918274,0.027031000049020794,0.007271682803036794
social_media_time,-0.030306878901037382,-0.06530405937719543,1.0,0.08658583466910041,-0.030878413290477993,-0.031155869906691665,0.11556506681020938,0.046062468715156825,-0.036295430931549875
notification_count,-0.08320328555607431,-0.08790635157934819,0.08658583466910041,1.0,-0.0592108586689003,-0.031433829294295196,-1.111271514495973e-06,-0.07786323895188643,0.0713679145552569
study_time,-0.029123547903336756,0.05048493440283463,-0.030878413290477993,-0.0592108586689003,1.0,0.05760505969087896,0.034651938910258424,-0.016676398381989435,-0.1309058456895539
median_rt,-0.24100203185003088,0.10875013847429217,-0.031155869906691665,-0.031433829294295196,0.05760505969087896,1.0,0.036512931283618384,0.04925621230517458,-0.02672181994362374
sd_rt,0.0290718411401933,0.01646020300918274,0.11556506681020938,-1.111271514495973e-06,0.034651938910258424,0.036512931283618384,1.0,-0.011747686085400949,0.07658466740898646
switch_cost_ies,0.004840788224712052,0.027031000049020794,0.046062468715156825,-0.07786323895188643,-0.016676398381989435,0.04925621230517458,-0.011747686085400949,1.0,-0.05165455136586068
sustained_attention_score,-0.028802348233173798,0.007271682803036794,-0.036295430931549875,0.0713679145552569,-0.1309058456895539,-0.02672181994362374,0.07658466740898646,-0.05165455136586068,1.0
